evidence_id,source_id,claim,relation,scope,region,delay,alpha_type,support_or_counterexample,evidence_level,local_validation_method,notes
CPE-001,TOPIC-33089748320791,"Observed Self correlation is usually lower than PP correlation",Self<PP,"single author; author says no theory",UNKNOWN,UNKNOWN,UNKNOWN,SUPPORT_SAMPLE,FORUM_EXPERIENCE,"Paired sample by identical profile and observation date; compute ordering rate and confidence interval","Hypothesis only; no cutoff retained."
CPE-002,TOPIC-33089748320791,"Observed PP correlation is usually lower than Prod correlation",PP<Prod,"single author; author says no theory",UNKNOWN,UNKNOWN,UNKNOWN,SUPPORT_SAMPLE,FORUM_EXPERIENCE,"Paired sample by identical profile and observation date; calculate mismatch and reversal rate","Hypothesis only; no cutoff retained."
CPE-003,TOPIC-33089748320791,"PP can prioritize Prod requests",PP-before-Prod,"single author; no operational contract",UNKNOWN,UNKNOWN,UNKNOWN,SUPPORT_SAMPLE,FORUM_EXPERIENCE,"Compare funnel recall against authorized Prod outcomes with thresholds marked pending","Never use as admission rejection."
CPE-004,TOPIC-32223192365207,"Displayed Prod-related failure may have PP-path context",PP-vs-Prod diagnostic mismatch,"reported PP submission path; message semantics unverified",UNKNOWN,UNKNOWN,Power Pool,COUNTEREXAMPLE,FORUM_STRONG,"Obtain official error taxonomy and classify consented test records without automatic action","Original page requires human opening."
CPE-005,TOPIC-39118594803095,"PP and Prod may both change after a scoped research change without establishing an ordering",PP-and-Prod non-equivalence,"one practitioner case plus divergent comments",UNKNOWN,UNKNOWN,UNKNOWN,COUNTEREXAMPLE,FORUM_EXPERIENCE,"Record paired PP/Prod values and quality outcome for one-change experiments","No formula, result number, or profile is published."
CPE-006,TOPIC-35129651186967,"Correlation observations can become stale before a later check",freshness,"high-vote community guidance",all,all,all,CONTEXT,FORUM_STRONG,"Version cache by observation time and invalidate on defined profile/pool changes","Does not establish a refresh interval."
CPE-007,TOPIC-33823038097303,"HTTP rate-limit feedback and compute-side delay are distinct",throttle-vs-pending,"community observation; backend scope unavailable",all,all,read-only correlation,CONTEXT,FORUM_STRONG,"Keep server-throttle and pending/unavailable as separate state classes; validate scope before configuration","No numeric limit or retry interval is adopted."
CPE-008,TOPIC-39623025163415,"Within-batch correlation can expose redundant candidate families",family-clustering,"one forum workflow; threshold and PnL details excluded",local research batch,profile scoped,candidate family analysis,CONTEXT,FORUM_EXPERIENCE,"Compare clustering sensitivity with held-out local batches and retain every candidate provenance","Advisory diversity triage only; not a platform correlation or admission rule."
CPE-009,TOPIC-41279111112855,"Changing a data-family hypothesis may alter correlation outcomes more than local operator variation",data-family-pivot,"single CHN Python retrospective",CHN,D1,Python research,SUPPORT_SAMPLE,FORUM_EXPERIENCE,"Run controlled one-family changes under a fixed local profile and evaluate quality plus correlation state","No score, threshold, field, formula or general causal rule retained."
CPE-010,TOPIC-35590188390551,"Tag-derived local pool membership can be stale or differ from another membership cue",pool-membership-freshness,"forum code discussion; authoritative semantics unavailable",UNKNOWN,UNKNOWN,Power Pool precheck,CONTEXT,FORUM_EXPERIENCE,"Compare consented local prechecks to authorized observations and log pool identity plus observed-at time","Source code and private pool data are excluded; never use a local result as submission authority."
CPE-011,TOPIC-31183954824471,"Self and Power Pool observations can diverge",Self-vs-Pool non-equivalence,"single practitioner report; terminology and metric definition are not authoritative",UNKNOWN,UNKNOWN,Power Pool correlation discussion,COUNTEREXAMPLE,FORUM_EXPERIENCE,"Build a paired observation matrix by identical profile and observation date; measure mismatches, reversals and missingness","Counterexample only. It does not establish official metric semantics, an ordering rule or a threshold."
CPE-012,TOPIC-35581087524503,"A reported local Self and PPAC-style observation did not match the proposed monotonic funnel",Self-vs-PP non-monotonic,"single direct-access practitioner report; scope and metric semantics are not authoritative",UNKNOWN,UNKNOWN,local correlation utility,COUNTEREXAMPLE,FORUM_EXPERIENCE,"Collect paired authorized observations with identical profile and observed-at metadata; measure ordering and reversal rates","Counterexample only. Source code and private output are non-adoptable; no official metric definition or cutoff follows."
CPE-013,TOPIC-41377679573143,"A signature cache is proposed to predict later high correlation",cache-proxy,"single implementation proposal; no paired outcome",UNKNOWN,UNKNOWN,candidate similarity proxy,CONTEXT_LIMITATION,FORUM_EXPERIENCE,"Evaluate held-out precision, recall, and freshness decay under identical scope; separately compare Self, Power Pool, and Prod observations","It is not evidence that field or operator overlap predicts an official correlation metric or supports rejection."
CPE-014,TOPIC-39703382189463,"Distinct economic hypotheses may be associated with lower correlation",economic-mechanism-diversity,"single author; causal and predictive claim unverified",UNKNOWN,UNKNOWN,offline hypothesis planning,CONTEXT_LIMITATION,FORUM_EXPERIENCE,"Pre-register mechanism labels for a private matched study; compare scope-matched authorized observations while measuring reversals and drawdown co-movement","Hypothesis only. It does not establish an official correlation metric, a causal mechanism, a threshold, or a screening rule."
CPE-015,TOPIC-34574522475031,"A local correlation graph can group redundant research variants",graph-family-triage,"one code-bearing community tool; platform semantics unavailable",authorized local observation scope,authorized local observation scope,offline candidate-family analysis,CONTEXT,FORUM_STRONG,"Assess graph stability across windows, missingness treatment, and clustering choices; retain all candidates and compare reviewer decisions","Advisory triage only. Local graph edges do not represent Self, Power Pool, Prod, or a rejection criterion."
